Participant_ID,Folder,File,MOS_Technical,MOS_Semantic
J33ILEUP,45,smack.wav,1,1
J33ILEUP,5,smack.wav,1,1
J33ILEUP,5,pgd.wav,4,5
J33ILEUP,57,pgd.wav,4,3
J33ILEUP,52,tts.wav,5,3
J33ILEUP,72,harvard_audio.wav,5,5
J33ILEUP,57,harvard_audio.wav,5,3
J33ILEUP,45,pgd.wav,3,5
J33ILEUP,72,waveform.wav,1,1
J33ILEUP,87,harvard_audio.wav,5,5
J33ILEUP,87,tts.wav,5,5
J33ILEUP,72,pgd.wav,4,5
J33ILEUP,41,tts.wav,5,5
J33ILEUP,5,waveform.wav,1,1
J33ILEUP,70,tts.wav,5,5
J33ILEUP,28,harvard_audio.wav,5,2
J33ILEUP,8,harvard_audio.wav,5,3
J33ILEUP,52,waveform.wav,1,1
J33ILEUP,57,waveform.wav,1,1
J33ILEUP,70,smack.wav,1,2
J33ILEUP,87,waveform.wav,1,1
J33ILEUP,41,waveform.wav,1,1
J33ILEUP,28,waveform.wav,2,1
J33ILEUP,8,tts.wav,5,2
J33ILEUP,8,smack.wav,2,2
J33ILEUP,87,smack.wav,1,1
J33ILEUP,70,pgd.wav,4,5
5UAXFAD1,41,harvard_audio.wav,5,5
5UAXFAD1,52,tts.wav,5,4
5UAXFAD1,57,tts.wav,4,2
5UAXFAD1,8,waveform.wav,2,3
5UAXFAD1,72,tts.wav,5,3
5UAXFAD1,8,pgd.wav,2,2
5UAXFAD1,28,smack.wav,1,1
5UAXFAD1,57,pgd.wav,5,3
5UAXFAD1,45,harvard_audio.wav,5,3
5UAXFAD1,28,pgd.wav,3,2
5UAXFAD1,57,waveform.wav,1,1
5UAXFAD1,87,tts.wav,5,2
5UAXFAD1,70,harvard_audio.wav,5,2
5UAXFAD1,87,smack.wav,1,1
5UAXFAD1,5,smack.wav,1,1
5UAXFAD1,72,harvard_audio.wav,5,2
5UAXFAD1,52,harvard_audio.wav,5,3
5UAXFAD1,28,tts.wav,5,3
5UAXFAD1,8,harvard_audio.wav,5,2
5UAXFAD1,5,harvard_audio.wav,5,5
5UAXFAD1,45,waveform.wav,1,1
5UAXFAD1,70,pgd.wav,5,2
5UAXFAD1,87,pgd.wav,4,5
5UAXFAD1,70,tts.wav,5,2
5UAXFAD1,52,pgd.wav,4,2
5UAXFAD1,41,tts.wav,5,5
5UAXFAD1,45,pgd.wav,4,2
5UAXFAD1,72,smack.wav,1,1
5UAXFAD1,5,pgd.wav,4,5
5UAXFAD1,87,waveform.wav,1,1
5UAXFAD1,72,pgd.wav,4,2
5UAXFAD1,70,smack.wav,1,1
5UAXFAD1,87,harvard_audio.wav,5,5
5UAXFAD1,41,waveform.wav,1,1
5UAXFAD1,57,harvard_audio.wav,5,2
5UAXFAD1,8,smack.wav,1,2
5UAXFAD1,45,tts.wav,5,2
